study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,origin,setting,age,sex,mean_mass_g,lon,lat,trt_temp,bio_hier,trait,response,response_unit,mass_corrected,disp_trait,disp_unit,measure_time_h,time_lag_days,sample_size,chi,F,t,df,corr_coeff,corr_corrected,dispersal_def,notes,title,ref
3,Niitepold,2011,Fig 4,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,outdoor lab,Adult,Male,0.08,,,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),,Activity,s,0.08,1,23,,,,,-0.2797788,n,,,,
3,Niitepold,2011,Fig 4,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,outdoor lab,Adult,Female,0.1,,,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),,Activity,s,0.08,1,11,,,,,0.5528124,n,,,,
4,Gilfford,2014,Table 2,Ectotherm,Amphibia,Desmognathus_brimleyorum,Desmognathus brimleyorum,wild,indoor lab,Adult,Mixed,5.011872336,-94.06,36.06,15,Organism,Metabolism,Standard MR,residual O2 consumption (ul_O2_h),y,Exploration,residual rate,0.25,2,19,,,,,-0.2,n,number of grid squares crossed in 15 min observation,phenotypic,"Individual (Co)variation in Standard Metabolic Rate, Feeding Rate, and Exploratory Behavior in Wild-Caught Semiaquatic Salamanders",https://www.journals.uchicago.edu/doi/full/10.1086/675974
4,Gilfford,2014,Table 3,Ectotherm,Amphibia,Desmognathus_brimleyorum,Desmognathus brimleyorum,wild,indoor lab,Adult,Mixed,5.011872336,,,15,Organism,Metabolism,Standard MR,residual O2 consumption (ul_O2_h),y,Exploration,residual rate,1.25,2,19,,,,,-0.41,n,,among,,
5,Careau,2015,Table 3,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,indoor lab,Adult,Mixed,90.8,-72.433,45.083,30,Organism,Metabolism,Resting MR,residual mW,y,Exploration,residual,360,1,296,,,,,-0.143,n,total number of line crosses,among,Energy expenditure and personality in wild chipmunks,https://link.springer.com/article/10.1007/s00265-015-1876-2
5,Careau,2015,Table 3,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,outdoor lab,Adult,Mixed,90.8,,,NA,Organism,Metabolism,Field MR,residual mW,y,Exploration,residual,360,0,64,,,,,-0.316,n,,among,,
6,Biro,2019,text,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.225,151.229,-33.898,25,Organism,Metabolism,Resting MR,residual O2 production (mg_O2_h),y,Activity,residual rate,1,1.5,30,,,,,-0.58,n,,among,Spontaneous activity rates and resting metabolism: Support for the allocation model of energy management at the among?individual level,https://onlinelibrary.wiley.com/doi/full/10.1111/eth.12957
7,Oliverira,2020,Fig 3,Endotherm,Mammalia,Crocidura_russula,Crocidura russula,wild,indoor lab,Adult,Mixed,7.5,-9.401,38.79,30,Organism,Metabolism,Resting MR,mass-corrected mW,y,Exploration,s,1.5,0,17,,,,,-0.32,y,latency to exit,among,Metabolic and behavioral adaptations of greater white-toothed shrews to urban conditions,https://academic.oup.com/beheco/article/31/6/1334/5923108?login=true
7,Oliverira,2020,Fig 3,Endotherm,Mammalia,Crocidura_russula,Crocidura russula,wild,indoor lab,Adult,Mixed,7.5,,,30,Organism,Metabolism,Resting MR,mass-corrected mW,y,Exploration,n,1.5,0,17,,,,,0.14,n,number of squares visited,among,,
8,Toscano,2015,text,Ectotherm,Invertebrate,Panopeus_herbstii,Panopeus herbstii,wild,indoor lab,Adult,Male,,-79.166,33.333,21,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (umol O2 h g),y,Activity,proportion activity time,2,1,13,,,,,-0.47,n,proportion of observations active out of 20 total observations,no predators present,Testing for relationships between individual crab behavior and metabolic rate across ecological contexts,https://link.springer.com/article/10.1007/s00265-015-1947-4
9,Krams,2017,Table 2,Ectotherm,Invertebrate,Gryllus_integer,Gryllus integer,lab,indoor lab,Adult,Mixed,0.528,,,25,Organism,Metabolism,Resting MR,mass-corrected CO2 production (ml Co2 g h),y,Exploration,min,4,0,46,,,,,0.345,y,Time between entering the tube and resuming activity,among,"Metabolic rate associates with, but does not generate covariation between, behaviours in western stutter-trilling crickets, Gryllus integer",https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2481
10,Hurlmann,2019,Fig 4,Endotherm,Mammalia,Microtus_arvalis,Microtus arvalis,wild,indoor lab,Adult,Mixed,23.5,6.875,46.252,30,Organism,Metabolism,Resting MR,residual O2 consumption (ml_O2_h),y,Exploration,n,0.0333333,1,75,,,,,0.14,n,number of lines crossed,phenotypic,Evidence of phenotypic correlation between exploration activity and resting metabolic rate among populations across an elevation gradient in a small rodent species,https://link.springer.com/article/10.1007/s00265-019-2740-6
11,McKenzie,2021,Table 2,Ectotherm,Osteichthyes,Clarias_gariepinus,Clarias gariepinus,lab,indoor lab,Juvenile,Mixed,150,-47.034,-22.508,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (mmol O2 kg h),y,Activity,min,0.166667,0,58,,,,,-0.339,n,time spent moving,phenotypic,"Evidence that standard metabolic rate and risk-taking to breathe air are linked to boldness, activity level and exploratory behaviour in a catfish",https://www.biorxiv.org/content/10.1101/2021.02.02.429387v1
11,McKenzie,2021,Table 2,Ectotherm,Osteichthyes,Clarias_gariepinus,Clarias gariepinus,lab,indoor lab,Juvenile,Mixed,150,,,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (mmol O2 kg h),y,Exploration,min,0.166667,0,58,,,,,-0.245,n,number of lines crossed,phenotypic,,
12,Royaute,2015,Table 2,Ectotherm,Invertebrate,Acheta_domesticus,Acheta domesticus,lab,indoor lab,Juvenile,Mixed,0.4,,,NA,Organism,Metabolism,Routine MR,residual CO2 production (umol_CO2_h),y,Exploration,s,0.05,1,43,,,,,0.15,n,number of unique zones visited,,"Behaviour, metabolism and size: phenotypic modularity or integration in Acheta domesticus?",https://www.sciencedirect.com/science/article/pii/S0003347215003589
13,Bouwhuis,2013,text,Endotherm,Aves,Parus_major,Parus major,wild,indoor lab,Adult,Male,18.9,-1.315,51.783,,Organism,Metabolism,Basal MR,mass-corrected W,y,Exploration,,5,0,345,,,1,324,0.05547002,n,movement in novel environment,,Personality and basal metabolic rate in a wild bird population,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2013.00654.x
13,Bouwhuis,2013,text,Endotherm,Aves,Parus_major,Parus major,wild,indoor lab,Adult,Female,17.6,,,,Organism,Metabolism,Basal MR,mass-corrected W,y,Exploration,,5,0,335,,,-2.5,314,-0.139699689,n,movement in novel environment,,,
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,,,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 g h),y,Exploration,PC1,7,3,170,,,,,0.03,n,,juvenile,"Personality and the pace?of?life syndrome: variation and selection on exploration, metabolism and locomotor performances",https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12017
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,3.75,44.45,25,Organism,Locomotor capacity,Sprint speed,ms,n,Exploration,PC1,7,3,170,,,,,0,n,,juvenile,,
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,,,32,Organism,Locomotor capacity,Endurance,s,n,Exploration,PC1,7,3,87,,,,,0.13,n,,juvenile,,
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,,,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 g h),y,Exploration,PC1,7,3,52,,,,,-0.04,n,,yearling,,
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,,,25,Organism,Locomotor capacity,Sprint speed,ms,n,Exploration,PC1,7,3,52,,,,,0.27,n,,yearling,,
14,Le Galliard,2013,Table 2,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,indoor lab,Juvenile,Mixed,1.01,,,32,Organism,Locomotor capacity,Endurance,s,n,Exploration,PC1,7,3,53,,,,,0.25,n,,yearling,,
15,Pena-Villalobos,2020,Fig 7,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,indoor lab,Juvenile,Male,19,,,25,Macromolecule,Metabolism,Muscle citrate synthase,umol min mg protein,y,Exploration,n,5,0,44,,,,,0.66,n,number of squares crossed,no food restriction,Costs of exploratory behavior: the energy trade-off hypothesis and the allocation model tested under caloric restriction,https://www.nature.com/articles/s41598-020-61102-2#Sec9
15,Pena-Villalobos,2020,Fig 7,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,indoor lab,Juvenile,Male,19,,,25,Macromolecule,Metabolism,Muscle cytochrome c oxidase,umol min mg protein,y,Exploration,n,5,0,44,,,,,0.58,n,,,,
15,Pena-Villalobos,2020,text,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,indoor lab,Juvenile,Male,19,,,25,Macromolecule,Metabolism,Liver citrate synthase,,y,Activity,%,0.166667,0,44,,,,,-0.404,n,,,,
15,Pena-Villalobos,2020,text,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,indoor lab,Juvenile,Male,19,,,25,Macromolecule,Metabolism,Liver cytochrome c oxidase,umol min mg protein,y,Activity,%,0.166667,0,44,,,,,-0.938,n,,,,
15,Pena-Villalobos,2020,text,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,indoor lab,Juvenile,Male,19,,,30,Organism,Metabolism,Resting MR,residual O2 consumption (ml_O2_h),y,Activity,%,0.166667,1,44,,,,,-0.757,n,,,,
16,Newar,2018,Table 4,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,outdoor lab,Adult,Mixed,100,-76.316,44.55,,Organism,Locomotor capacity,Sprint speed,ms,n,Exploration,cm,0.166667,0,43,,,,,-0.593,n,distance moved,,The fast and the curious: locomotor performance and exploratory behaviour in eastern chipmunks,https://link.springer.com/article/10.1007/s00265-018-2445-2
17,Maldonado,2021,Fig 1,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,indoor lab,Adult,Mixed,17.95,-70.416,-27.3,30,Organism,Metabolism,Basal MR,ml O2 min,n,Exploration,,0.166667,0,19,,,,,-0.412,n,Shannon’s diversity index,Desert,Geographic Variation in the Association between Exploratory Behavior and Physiology in Rufous-Collared Sparrows,https://www.journals.uchicago.edu/doi/full/10.1086/667406
17,Maldonado,2021,Fig 1,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,indoor lab,Adult,Mixed,17.72,-70.833,-33.516,30,Organism,Metabolism,Basal MR,ml O2 min,n,Exploration,,0.166667,0,19,,,,,0.469,n,,Mediterranean,,
17,Maldonado,2021,Fig 1,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,indoor lab,Adult,Mixed,19.65,-73,-41.266,30,Organism,Metabolism,Basal MR,ml O2 min,n,Exploration,,0.166667,0,24,,,,,-0.3,n,,Cold-temperature,,
18,Finkemeier,2015,Table 2,Endotherm,Mammalia,Cavia_aperea,Cavia aperea,lab,indoor lab,Juvenile,Mixed,265,,,20,Organism,Metabolism,Resting MR,residual W,y,Exploration,n,3,1,63,,,,,0.12,n,number of times in new enclosure,,Match–Mismatch Experiments Using Photoperiod Expose Developmental Plasticity of Personality Traits,https://onlinelibrary.wiley.com/doi/full/10.1111/eth.12448
19,Guenther,2015,Table 1,Endotherm,Mammalia,Cavia_aperea,Cavia aperea,lab,indoor lab,Juvenile,Mixed,,,,20,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 kg min),y,Exploration,n,3,1,39,,,,,-0.24,n,number of times in new enclosure,,Within-litter differences in personality and physiology relate to size differences among siblings in cavies,https://www.sciencedirect.com/science/article/pii/S003193841500164X
20,Vaanholt,2012,Table 4,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Juvenile,Mixed,45.75,,,30,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (KJ g d),y,Activity,n d,24,,122,,,,,0.114,n,,,Factors Predicting Individual Variability in Diet?Induced Weight Loss in MF1 Mice,https://onlinelibrary.wiley.com/doi/full/10.1038/oby.2011.279
21,Careau,2011,text,Endotherm,Mammalia,Peromyscus_maniculatus,Peromyscus maniculatus sonoriensis,lab,indoor lab,Adult,Mixed,20.9,-118.326,37.36,24,Organism,Metabolism,Resting MR,covariate ml O2 h,y,Activity,,0.0333333,,105,,,,,0.12,n,distance moved,,Genetic correlation between resting metabolic rate and exploratory behaviour in deer mice (Peromyscus maniculatus),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1420-9101.2011.02344.x
22,Stoltey,2009,text,Ectotherm,Invertebrate,Aphonopelma_anax,Aphonopelma anax,wild,outdoor lab,Adult,Male,10.25,-99.406,28.325,30,Organism,Metabolism,Resting MR,ml CO2 h,n,Activity,m day,1008,1,23,,0.20976177,,21,-0.099447822,n,distance moved,,Metabolic rates and movements of the male tarantula Aphonopelma anax during the mating season,https://cdnsciencepub.com/doi/full/10.1139/Z09-111
23,Farwell,2009,text,Ectotherm,Osteichthyes,Salvelinus_fontinalis,Salvelinus fontinalis,wild,outdoor lab,Adult,Mixed,0.05,-80.116667,43.75,10.5,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (umol O2 g min),y,Activity,proportion activity time,4,1,74,,,,,0.06,n,,,Alternative foraging tactics and risk taking in brook charr (Salvelinus fontinalis),https://academic.oup.com/beheco/article/20/5/913/209282?login=true
23,Farwell,2009,text,Ectotherm,Osteichthyes,Salvelinus_fontinalis,Salvelinus fontinalis,wild,outdoor lab,Adult,Mixed,0.05,,,10.5,Organism,Locomotor capacity,Endurance,s,y,Activity,proportion activity time,4,1,74,,,,,0.09,n,,,,
24,Baktoft,2016,Fig 3,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,outdoor lab,Adult,Mixed,54.2,10.180556,55.928333,16,Organism,Metabolism,Standard MR,residual O2 consumption (mg_O2_kg_h),y,Activity,m day,288,19,16,,,,,-0.2822302,n,,,"Phenotypic variation in metabolism and morphology correlating with animal swimming activity in the wild: relevance for the OCLTT (oxygen- and capacity-limitation of thermal tolerance), allocation and performance model",https://academic.oup.com/conphys/article/4/1/cov055/2951292?login=true
24,Baktoft,2016,Fig 3,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,outdoor lab,Adult,Mixed,54.2,,,16,Organism,Metabolism,Aerobic scope,ratio,y,Activity,m day,288,19,16,,,,,-0.08006408,n,,,,
24,Baktoft,2016,Fig 3,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,outdoor lab,Adult,Mixed,54.2,,,16,Organism,Metabolism,Standard MR,residual O2 consumption (mg_O2_kg_h),y,Exploration,activity outside buffer zone,288,19,16,,,,,-0.283721,n,,,,
24,Baktoft,2016,Fig 3,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,outdoor lab,Adult,Mixed,54.2,,,16,Organism,Metabolism,Aerobic scope,ratio,y,Exploration,activity outside buffer zone,288,19,16,,,,,-0.0811453,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 min),y,Activity,km day,48,6,27,,,,,0.086,n,,,"Relationships among running performance, aerobic physiology and organ mass in male Mongolian gerbils",https://jeb.biologists.org/content/210/23/4179.short
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 min),y,Activity,min day,48,6,27,,,,,0.052,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Resting MR,residual O2 consumption (ml O2 min),y,Activity,km day,48,4,40,,,,,-0.09,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Resting MR,residual O2 consumption (ml O2 min),y,Activity,min day,48,4,40,,,,,-0.094,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Max MR,residual O2 consumption (ml O2 min),y,Activity,km day,48,4,40,,,,,0.628,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Max MR,residual O2 consumption (ml O2 min),y,Activity,min day,48,4,40,,,,,0.403,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Aerobic scope,ratio,y,Activity,km day,48,4,40,,,,,-0.05,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Aerobic scope,ratio,y,Activity,min day,48,4,40,,,,,0.033,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Routine MR,residual O2 consumption (ml O2 min),y,Activity,km day,48,4,40,,,,,0.383,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Metabolism,Routine MR,residual O2 consumption (ml O2 min),y,Activity,min day,48,4,40,,,,,0.361,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Locomotor capacity,Sprint speed,residual (km h),y,Activity,km day,48,5,34,,,,,-0.183,n,,,,
25,Chappell,2007,Table 3,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,indoor lab,Adult,Male,67.7,,,23,Organism,Locomotor capacity,Sprint speed,residual (km h),y,Activity,min day,48,5,34,,,,,-0.214,n,,,,
26,Finstad,2007,text,Ectotherm,Osteichthyes,Salmo_salar,Salmo salar,lab,indoor lab,Juvenile,Mixed,29,23,70,3.9,Organism,Metabolism,Standard MR,J g day,y,Activity,n,48,2,23,0.047,,,62,0.045204848,n,,,"Metabolic rate, behaviour and winter performance in juvenile Atlantic salmon",https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2007.01291.x
27,Girardier,1995,Table 1,Endotherm,Mammalia,Rattus_norvegicus,Rattus norvegicus,lab,indoor lab,Adult,Mixed,243.6,,,22,Organism,Metabolism,Resting MR,mW,n,Activity,m h,8.33333,0,8,,,,,0.159000154,n,,,Thermogenesis associated with spontaneous activity: an important component of thermoregulatory needs in rats,https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.1995.sp021009
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Cellular,Cardiovascular,Haematocrit,%,y,Activity,%,28,,36,,,,,0.84,n,,Novel environment,Developmental stress can uncouple relationships between physiology and behaviour,https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2014.0834
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Macromolecule,Hormone,Corticosterone,ng ml,y,Activity,%,28,,36,,,,,0.11,n,,,,
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 h),y,Activity,%,28,,36,,,,,-0.62,n,,,,
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Cellular,Cardiovascular,Haematocrit,%,y,Activity,%,28,,28,,,,,-0.03,n,,Familiar environment,,
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Macromolecule,Hormone,Corticosterone,ng ml,y,Activity,%,28,,28,,,,,-0.2,n,,,,
28,Careau,2014,Table S2,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,indoor lab,Adult,Female,13.39,,,22,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 h),y,Activity,%,28,,28,,,,,-0.45,n,,,,
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.0967,4.594,50.605,30.17166263,Organism,Metabolism,Resting MR,ml CO2 h,n,Activity,m,0.166667,0,17,,,,,-0.076899831,n,,EL population,Nectar resource limitation affects butterfly flight performance and metabolism differently in intensive and extensive agricultural landscapes,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.0455
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.0967,,,30.29272933,Organism,Metabolism,Routine MR,ml CO2 h,n,Activity,m,0.166667,0,17,,,,,0.213808422,n,,EL population,,
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.0967,,,30,Organism,Locomotor capacity,Endurance,s,n,Activity,m,0.166667,0,17,,,,,0.811090055,n,,EL population,,
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.094,,,30.41930736,Organism,Metabolism,Resting MR,ml CO2 h,n,Activity,m,0.166667,0,27,,,,,0.047964533,n,,IL population,,
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.094,,,30.74498283,Organism,Metabolism,Routine MR,ml CO2 h,n,Activity,m,0.166667,0,27,,,,,0.535650081,n,,IL population,,
29,Lebeau,2016,raw data,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,indoor lab,Adult,Female,0.094,,,30,Organism,Locomotor capacity,Endurance,s,n,Activity,m,0.166667,0,27,,,,,0.825209047,n,,IL population,,
30,Dyck,2016,text,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,indoor lab,Adult,Male,,4,51,30.6,Organism,Metabolism,Standard MR,residual CO2 production (ml_CO2_h),y,Activity,residual,,,91,,,,,-0.27,n,,,Ecotypic differentiation matters for latitudinal variation in energy metabolism and flight performance in a butterfly under climate change,https://www.nature.com/articles/srep36941#Sec8
30,Dyck,2016,text,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,indoor lab,Adult,Female,,,,,Organism,Metabolism,Standard MR,residual CO2 production (ml_CO2_h),y,Activity,residual,,,108,,,,,-0.12,n,,,,
30,Dyck,2016,text,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,indoor lab,Adult,Male,,,,,Organism,Metabolism,Routine MR,residual CO2 production (ml_CO2_h),y,Activity,residual,,0,93,,,,,0.61,n,,,,
