study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,disp_mode,type,core,front,age,sex,mean_mass_g,lon_core,lat_core,lon_front,lat_front,dist_km,time_core,time_front,time_diff_y,dispersal_rate_km_y,rainfall_core_mm_y,rainfall_front_mm_y,rainfall_diff,temp_core,temp_front,temp_diff,exp_temp,bio_hier,trait,response,response_unit,mean_core,sd_core,se_core,n_core,mean_front,sd_front,se_front,n_front,shared_control,lnRR,notes,title,ref
1,Tracy,2012,Table 2,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,,Organism,Thermal tolerance,CTmax,degree celsius,39.1,1,0.447213595,5,39.5,0.5,0.176776695,8,2,0.010178205,,,
1,Tracy,2012,Fig 1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,24,Organism,Locomotor capacity,Endurance,min,114.9206349,16.29672576,6.65311043,6,39.28571429,14.80217242,5.233358248,8,2,-1.07338081,,,
1,Tracy,2012,Fig 1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,24,Organism,Locomotor capacity,Endurance,min,114.9206349,16.29672576,6.65311043,6,53.17460317,14.41650883,5.097005578,8,2,-0.770660861,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,,Cellular,Cardiovascular,Haematocrit,%,0.27,0.06,,5,0.19,0.04,,8,2,-0.351397887,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,,Cellular,Cardiovascular,Haematocrit,%,0.27,0.06,,5,0.25,0.04,,8,2,-0.076961041,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,,Cellular,Cardiovascular,Haemoglobin,g l,70.41,10.65,,5,40.96,9.6,,8,2,-0.541739318,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,,Cellular,Cardiovascular,Haemoglobin,g l,70.41,10.65,,5,60.86,8.3,,8,2,-0.145759154,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,25,Macromolecule,Metabolic enzyme,Muscle citrate synthase,umol min g,5.45,1.03,,5,3.37,0.92,,8,2,-0.480702864,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,25,Macromolecule,Metabolic enzyme,Muscle citrate synthase,umol min g,5.45,1.03,,5,3.85,1.22,,8,2,-0.34754246,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Borroloola,Adult,Mixed,99.5,145.7341,-16.890663,136.307907,-16.084122,1486,1936,1988,52,28.57692308,2191.6,843.1,-1348.5,24.7,26.9,2.2,25,Macromolecule,Metabolic enzyme,Muscle lactate dehydrogenase,umol min g,273.7,24.1,,5,186.5,68,,8,2,-0.383601377,,,
1,Tracy,2012,Table 3,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Cairns,Timber Creek,Adult,Mixed,109.7,145.7341,-16.890663,130.482028,-15.637537,2226,1936,2006,70,31.8,2191.6,649.5,-1542.1,24.7,28,3.3,25,Macromolecule,Metabolic enzyme,Muscle lactate dehydrogenase,umol min g,273.7,24.1,,5,240.4,89.9,,8,2,-0.129728413,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Kununurra ,Adult,Female,83.52727273,146.817878,-19.257622,128.74,-15.774167,2527,1935,2011,76,33.25,1111,720,-391,24.1,28.8,4.7,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,9343.5,2861.443007,,12,7,-0.034196965,,Locomotor performance of cane toads differs between native-range and invasive populations,https://royalsocietypublishing.org/doi/full/10.1098/rsos.170517
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Oombulgurri,Adult,Female,136.34375,146.817878,-19.257622,127.845,-15.180278,2839,1935,2013,78,36.3974359,1111,718,-393,24.1,29.4,5.3,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,10961.33333,2059.818331,,15,7,0.125496049,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Leaning Tree Lagoon,Adult,Female,163.975,146.817878,-19.257622,131.420222,-12.707222,2530,1935,2006,71,35.63380282,1111,1500,389,24.1,27.2,3.1,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,9901.25,1372.947901,,8,7,0.023783132,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Katherine ,Adult,Female,153.5833333,146.817878,-19.257622,132.260106,-14.463558,2189,1935,2010,75,29.18666667,1111,1009,-102,24.1,27.5,3.4,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,12103.33333,2269.505575,,12,7,0.224603017,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Charters Towers,Adult,Female,106.2583333,146.817878,-19.257622,146.258519,-20.076267,137,1935,1953,18,7.611111111,1111,692,-419,24.1,23.2,-0.9,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,10319.83333,1896.589827,,12,7,0.06518973,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Brooms Head,Adult,Female,111.4,146.817878,-19.257622,153.335825,-29.606344,1712,1935,2005,70,24.45714286,1111,1471,360,24.1,19.2,-4.9,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,11476.33333,1157.233147,,6,7,0.171409064,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Tabbimoble,Adult,Female,113.28875,146.817878,-19.257622,153.270408,-29.199608,1570,1935,2010,75,20.93333333,1111,1558,447,24.1,19.4,-4.7,35,Organism,Activity,Activity,cm SVL,9668.545455,1330.57748,,11,11270.5,1003.918199,,8,7,0.153310813,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Kununurra ,Adult,Male,91.72857143,146.817878,-19.257622,128.74,-15.774167,2527,1935,2011,76,33.25,1111,720,-391,24.1,28.8,4.7,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,10572.28571,2054.52071,,7,6,0.042175466,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Leaning Tree Lagoon,Adult,Male,147.26,146.817878,-19.257622,131.420222,-12.707222,2530,1935,2006,71,35.63380282,1111,1500,389,24.1,27.2,3.1,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,11425,1568.17888,,10,6,0.11974338,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Katherine ,Adult,Male,94.17142857,146.817878,-19.257622,132.260106,-14.463558,2189,1935,2010,75,29.18666667,1111,1009,-102,24.1,27.5,3.4,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,12830,743.0054797,,7,6,0.235725622,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Charters Towers,Adult,Male,94.32857143,146.817878,-19.257622,146.258519,-20.076267,137,1935,1953,18,7.611111111,1111,692,-419,24.1,23.2,-0.9,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,11127.14286,1890.47382,,6,6,0.093326869,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Brooms Head,Adult,Male,107.025,146.817878,-19.257622,153.335825,-29.606344,1712,1935,2005,70,24.45714286,1111,1471,360,24.1,19.2,-4.9,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,11661.5,1507.989639,,4,6,0.140232261,,,
2,Kosmala,2017,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Tabbimoble,Adult,Male,93.45,146.817878,-19.257622,153.270408,-29.199608,1570,1935,2010,75,20.93333333,1111,1558,447,24.1,19.4,-4.7,35,Organism,Activity,Activity,cm SVL,10135.66667,2443.921553,,6,12776.5,1503.394409,,4,6,0.23154699,,,
3,Vimercati,2018,raw data,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,32.21466667,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,24.1627907,22.35,-1.812790698,,Organism,Thermal tolerance,CTmin,degree celsius,7.82,1.586064311,,10,6.926666667,1.174998818,,15,1,0.121305858,,Rapid adaptive response to a Mediterranean environment reduces phenotypic mismatch in a recent amphibian invader,https://jeb.biologists.org/content/221/9/jeb174797
3,Vimercati,2018,raw data,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Female,50.708,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,24.1627907,22.35,-1.812790698,,Organism,Thermal tolerance,CTmin,degree celsius,8.57,2.061577066,,10,7.18,1.36,,15,1,0.17696835,,,
3,Vimercati,2018,raw data,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,32.21466667,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,24.1627907,22.35,-1.812790698,23,Organism,Locomotor capacity,Endurance,m,418.3166667,358.3402988,,12,527.8,296.030611,,15,1,0.232478703,,,
3,Vimercati,2018,raw data,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Female,50.708,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,24.1627907,22.35,-1.812790698,23,Organism,Locomotor capacity,Endurance,m,403.6,369.908331,,12,510.3333333,379.5706463,,15,1,0.234639819,,,
4,Madelaire,2020,Fig 5,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,31.5,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,24.1627907,22.35,-1.812790698,22,Organism,Activity,Activity,%,6.992592593,8.24875266,,10,25.24867725,25.19966682,,14,1,1.28392238,,Challenges of dehydration result in a behavioral shift in invasive toads,https://link.springer.com/article/10.1007/s00265-020-02866-5
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Port Saint Lucie,Adult,Mixed,112,-80.224167,25.787778,-80.355,27.275833,182,1955,2010,55,3.309090909,1293.7,1313,19.3,25,23.4,-1.6,,Macromolecule,Hormone,Corticosterone,ng ml,2.49,2.12,,52,3.84,3.75,,55,2,0.433189656,,Stress and immunity: Field comparisons among populations of invasive cane toads in Florida,https://onlinelibrary.wiley.com/doi/full/10.1002/jez.2389?casa_token=ticx6QOkgg0AAAAA%3A4UR4csrWIubPmbrWcQubUKCqDQVecOpi9z5UGVL3GzOlHHiPsxWxFxsq1oLIaZ3rjj-4HwDs5BIMyJBK
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Deland,Adult,Mixed,106,-80.224167,25.787778,-81.286389,29.0225,423,1955,2014,59,7.169491525,1293.7,1257.8,-35.9,25,21.4,-3.6,,Macromolecule,Hormone,Corticosterone,ng ml,2.49,2.12,,52,3.42,4.03,,21,2,0.317357841,,,
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Port Saint Lucie,Adult,Mixed,112,-80.224167,25.787778,-80.355,27.275833,182,1955,2010,55,3.309090909,1293.7,1313,19.3,25,23.4,-1.6,,Macromolecule,Immunity,BKA,%,77.02,15.28,,54,75.79,10.54,,54,2,-0.016098771,,,
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Deland,Adult,Mixed,106,-80.224167,25.787778,-81.286389,29.0225,423,1955,2014,59,7.169491525,1293.7,1257.8,-35.9,25,21.4,-3.6,,Macromolecule,Immunity,BKA,%,77.02,15.28,,54,47.43,31.71,,53,2,-0.484810188,,,
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Port Saint Lucie,Adult,Mixed,112,-80.224167,25.787778,-80.355,27.275833,182,1955,2010,55,3.309090909,1293.7,1313,19.3,25,23.4,-1.6,,Macromolecule,Immunity,NLR,ratio,0.21,0.12,,48,0.47,0.31,,60,2,0.805625164,,,
5,Assis,2020,Table S1,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Miami,Deland,Adult,Mixed,106,-80.224167,25.787778,-81.286389,29.0225,423,1955,2014,59,7.169491525,1293.7,1257.8,-35.9,25,21.4,-3.6,,Macromolecule,Immunity,NLR,ratio,0.21,0.12,,48,0.34,0.19,,48,2,0.481838087,,,
6,Barsotti,2021,Table 2,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,31.8,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,25.5,20,-5.5,24,Macromolecule,Immunity,BKA,%,40.3,31.2,,19,80.85,19.8,,23,1,0.696244117,,"Challenges of a novel range: Water balance, stress, and immunity in an invasive toad",https://www.sciencedirect.com/science/article/pii/S1095643320302233?casa_token=crpm1x77Cs4AAAAA:LCArBgXRpY02zDHk_Nou3HJcW6AwjtujmVTteQLyOvpqKpsi2aflaeTjrvoWdqWziR40PJ-A0g
6,Barsotti,2021,Table 2,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,31.8,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,25.5,20,-5.5,24,Macromolecule,Immunity,NLR,ratio,0.34,0.2,,20,0.48,0.2,,25,1,0.344840486,,,
6,Barsotti,2021,Table 2,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,31.8,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,25.5,20,-5.5,24,Macromolecule,Hormone,Corticosterone,ng ml,0.16,0.1,,13,0.15,0.09,,12,1,-0.064538521,,,
6,Barsotti,2021,Table 2,Ectotherm,Amphibia,Sclerophrys_gutturalis,Sclerophrys gutturalis,Terrestrial,Invasive,Durban,Cape Town,Adult,Male,31.8,31.016667,-29.783333,18.416667,-34.016667,1635,,2000,,,1012.8,1034.2,21.4,25.5,20,-5.5,24,Cellular,Cardiovascular,Haematocrit,%,25.74,3.9,,3,19.02,9.4,,6,1,-0.302555145,,,
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,El Questro,Adult,Male,112.2727273,146.817878,-19.257622,128.744232,-15.767402,2622,1935,2011,76,34.5,1114,768,-346,24.1,28.8,4.7,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,80.81274071,21.25608532,,22,6,0.289126038,,"The accelerating anuran: evolution of locomotor performance in cane toads (Rhinella marina, Bufonidae) at an invasion front",https://royalsocietypublishing.org/doi/full/10.1098/rspb.2020.1964
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Oombulgurri,Adult,Male,119.8461538,146.817878,-19.257622,127.845,-15.180278,2839,1935,2013,78,36.3974359,1114,841.7,-272.3,24.1,29.4,5.3,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,65.60029519,27.49637651,,13,6,0.080571598,,,
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Purnululu,Adult,Male,118.1333333,146.817878,-19.257622,128.403456,-17.528892,2946,1935,2016,81,36.37037037,1114,546.8,-567.2,24.1,26.6667,2.5667,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,63.30806462,16.38937952,,15,6,0.045004127,,,
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Wyndham,Adult,Male,103.5769231,146.817878,-19.257622,128.218042,-15.591531,2707,1935,2011,76,35.61842105,1114,786.7,-327.3,24.1,29.35,5.25,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,56.202937,13.40576007,,26,6,-0.074039582,,,
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Innisfail,Adult,Male,112.3076923,146.817878,-19.257622,146.018466,-17.526098,261,1935,1945,10,26.1,1114,3427.6,2313.6,24.1,23.4,-0.7,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,59.97843781,15.77650012,,13,6,-0.00902347,,,
7,Hudson,2020,raw data,Ectotherm,Amphibia,Rhinella_marina,Rhinella marina,Terrestrial,Invasive,Townsville,Tully,Adult,Male,94.20833333,146.817878,-19.257622,145.940179,-17.940873,210,1935,1945,10,21,1114,2439.8,1325.8,24.1,27.5,3.4,,Organism,Activity,Activity,cm,60.5221006,20.32892755,,15,62.98662894,14.0895178,,24,6,0.039913867,,,
